[[1, 0, 18, 20182, 6, 1, 5, 2, 9, 10, 5, 12, 3, 2, 2, 1, 1, 4, 2, 4, 2, 5, 6, 4, 5, 4, 5, 5, 2, 9, 2],
[1, 0, 17, 20182, 2, 1, 5, 2, 8, 8, 1, 12, 1, 1, 2, 1, 3, 1, 2, 1, 2, 2, 5, 4, 4, 4, 5, 4, 2, 8, 1],
[17, 1, 16, 20182, 5, 2, 5, 3, 10, 9, 4, 12, 1, 4, 4, 1, 5, 3, 2, 1, 2, 5, 5, 5, 5, 4, 5, 5, 2, 12, 3],
[7, 0, 18, 20182, 2, 1, 3, 3, 8, 9, 6, 12, 1, 3, 3, 3, 1, 5, 2, 4, 2, 2, 5, 3, 4, 4, 5, 4, 2, 9, 2],
[20, 0, 17, 20172, 2, 3, 3, 3, 9, 1, 7, 5, 3, 4, 4, 2, 5, 3, 1, 1, 2, 2, 5, 5, 5, 4, 4, 5, 3, 13, 3],
[1, 0, 16, 20182, 2, 1, 3, 2, 9, 9, 5, 12, 1, 1, 4, 2, 5, 2, 1, 1, 2, 2, 4, 4, 4, 4, 4, 4, 2, 10, 2],
[7, 0, 16, 20182, 5, 2, 3, 2, 7, 7, 4, 10, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 5, 5, 5, 5, 5, 5, 2, 9, 2],
[18, 0, 17, 20182, 5, 3, 3, 3, 1, 1, 11, 11, 3, 4, 4, 4, 1, 2, 1, 1, 2, 1, 6, 6, 6, 6, 6, 6, 3, 14, 4],
[13, 0, 16, 20182, 4, 1, 5, 2, 8, 9, 1, 12, 1, 1, 1, 2, 2, 3, 2, 1, 2, 2, 5, 5, 5, 4, 5, 5, 2, 10, 2],
[3, 0, 17, 20172, 2, 1, 3, 3, 9, 9, 10, 12, 1, 2, 2, 1, 3, 2, 2, 4, 2, 5, 6, 5, 5, 5, 6, 5, 3, 10, 2],
[16, 1, 16, 20172, 5, 2, 3, 3, 9, 9, 4, 12, 3, 4, 4, 4, 1, 2, 2, 1, 2, 5, 5, 6, 6, 5, 6, 5, 2, 12, 3],
[14, 1, 16, 20172, 5, 3, 3, 3, 9, 9, 13, 12, 2, 4, 4, 1, 1, 3, 2, 1, 2, 2, 7, 6, 6, 6, 5, 6, 3, 11, 3],
