[13, 1, 16, 20182, 5, 2, 5, 3, 9, 11, 4, 12, 3, 4, 4, 4, 3, 2, 2, 1, 2, 2, 6, 6, 6, 6, 6, 6, 3, 13, 3]
[15, 1, 16, 20172, 5, 2, 3, 2, 9, 9, 7, 12, 3, 4, 4, 1, 3, 4, 2, 1, 2, 2, 6, 4, 5, 5, 5, 5, 3, 11, 3]
[15, 1, 16, 20172, 28, 2, 3, 2, 9, 9, 4, 12, 2, 1, 2, 1, 1, 3, 2, 4, 2, 2, 6, 7, 6, 6, 6, 6, 2, 11, 2]
[1, 1, 17, 20182, 22, 1, 5, 2, 8, 8, 1, 12, 1, 3, 1, 3, 1, 3, 2, 1, 2, 2, 7, 7, 7, 6, 6, 7, 2, 7, 1]
[14, 0, 17, 20182, 2, 2, 5, 2, 10, 9, 4, 9, 2, 2, 4, 2, 3, 2, 2, 4, 2, 2, 7, 5, 6, 6, 6, 5, 3, 12, 3]
[18, 0, 16, 20172, 5, 3, 3, 3, 1, 1, 11, 11, 3, 4, 4, 2, 1, 2, 1, 1, 2, 1, 7, 7, 7, 7, 7, 7, 3, 14, 4]
[9, 1, 18, 20182, 22, 1, 3, 3, 8, 8, 1, 12, 3, 1, 1, 2, 3, 1, 2, 1, 2, 2, 6, 6, 6, 5, 6, 6, 2, 10, 2]
[13, 0, 16, 20182, 5, 2, 3, 3, 9, 9, 7, 12, 2, 1, 4, 1, 3, 1, 2, 1, 2, 2, 6, 6, 5, 5, 5, 5, 2, 11, 3]
[9, 1, 18, 20182, 31, 2, 3, 3, 9, 9, 13, 12, 2, 1, 1, 1, 5, 3, 2, 4, 2, 2, 5, 5, 5, 4, 5, 5, 2, 9, 2]
[7, 1, 18, 20172, 2, 2, 3, 3, 8, 8, 1, 12, 1, 4, 2, 1, 1, 2, 2, 4, 2, 2, 5, 5, 5, 4, 5, 5, 2, 9, 2]
[7, 0, 17, 20182, 5, 2, 3, 2, 9, 10, 5, 12, 2, 4, 4, 1, 3, 2, 1, 1, 2, 2, 6, 5, 5, 5, 5, 5, 2, 10, 2]
[7, 0, 17, 20172, 2, 2, 5, 3, 7, 10, 1, 12, 1, 1, 4, 1, 1, 4, 2, 1, 2, 1, 6, 4, 6, 6, 5, 5, 2, 10, 2]
[1, 0, 16, 20172, 14, 1, 5, 3, 8, 8, 1, 12, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 5, 5, 5, 5, 5, 5, 1, 8, 1]
[7, 0, 17, 20172, 4, 1, 5, 2, 9, 8, 4, 12, 1, 2, 2, 1, 1, 1, 2, 4, 2, 2, 6, 6, 6, 6, 6, 6, 2, 9, 2]
[9, 1, 17, 20182, 28, 1, 3, 2, 7, 8, 1, 12, 1, 2, 2, 2, 3, 1, 2, 3, 1, 2, 6, 6, 6, 6, 6, 6, 2, 9, 2]
[7, 0, 16, 20172, 5, 2, 3, 2, 8, 10, 4, 12, 2, 2, 2, 1, 5, 1, 2, 1, 2, 5, 7, 6, 6, 6, 7, 6, 3, 10, 2]
[13, 0, 16, 20172, 2, 1, 3, 3, 8, 9, 3, 12, 1, 1, 2, 2, 3, 4, 2, 1, 2, 2, 7, 5, 5, 5, 6, 6, 2, 10, 2]
[19, 1, 18, 20172, 2, 3, 3, 3, 1, 9, 11, 12, 2, 2, 4, 2, 3, 4, 2, 1, 2, 2, 6, 5, 5, 4, 4, 5, 2, 12, 3]
[15, 0, 16, 20172, 4, 2, 3, 3, 1, 1, 11, 11, 3, 4, 4, 4, 3, 4, 2, 1, 2, 2, 7, 6, 6, 6, 6, 6, 2, 12, 3]
[13, 0, 16, 20182, 4, 1, 5, 3, 10, 10, 13, 12, 1, 2, 2, 1, 3, 2, 2, 1, 2, 2, 6, 6, 6, 5, 6, 6, 2, 11, 3]
[13, 0, 16, 20182, 5, 2, 3, 2, 9, 9, 4, 12, 2, 4, 4, 2, 1, 2, 2, 4, 2, 1, 6, 5, 5, 5, 6, 6, 3, 12, 3]
[1, 0, 16, 20172, 12, 1, 3, 2, 7, 8, 13, 12, 2, 1, 1, 2, 3, 2, 2, 4, 2, 2, 6, 5, 6, 5, 5, 5, 2, 10, 2]
